year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,relative_votes
2012,Arizona,Apache,4001,Barack Obama,democrat,17147.0,25848,67.51584832854275
2012,Arizona,Apache,4001,Mitt Romney,republican,8250.0,25848,32.48415167145726
2012,Arizona,Cochise,4003,Barack Obama,democrat,18546.0,49003,38.60291821909539
2012,Arizona,Cochise,4003,Mitt Romney,republican,29497.0,49003,61.39708178090461
2012,Arizona,Coconino,4005,Barack Obama,democrat,29257.0,51731,57.96105156804089
2012,Arizona,Coconino,4005,Mitt Romney,republican,21220.0,51731,42.038948431959106
2012,Arizona,Gila,4007,Barack Obama,democrat,7697.0,21528,36.38899394856279
2012,Arizona,Gila,4007,Mitt Romney,republican,13455.0,21528,63.611006051437215
2012,Arizona,Graham,4009,Barack Obama,democrat,3609.0,11855,30.885750962772786
2012,Arizona,Graham,4009,Mitt Romney,republican,8076.0,11855,69.11424903722721
2012,Arizona,Greenlee,4011,Barack Obama,democrat,1310.0,2974,45.14128187456927
2012,Arizona,Greenlee,4011,Mitt Romney,republican,1592.0,2974,54.85871812543075
2012,Arizona,La Paz,4012,Barack Obama,democrat,1880.0,5717,33.60743653914909
2012,Arizona,La Paz,4012,Mitt Romney,republican,3714.0,5717,66.39256346085091
2012,Arizona,Maricopa,4013,Barack Obama,democrat,602288.0,1376558,44.542229433659756
2012,Arizona,Maricopa,4013,Mitt Romney,republican,749885.0,1376558,55.457770566340244
2012,Arizona,Mohave,4015,Barack Obama,democrat,19533.0,70010,28.43190055457708
2012,Arizona,Mohave,4015,Mitt Romney,republican,49168.0,70010,71.56809944542293
2012,Arizona,Navajo,4017,Barack Obama,democrat,16945.0,37335,46.0099378207391
2012,Arizona,Navajo,4017,Mitt Romney,republican,19884.0,37335,53.9900621792609
2012,Arizona,Pima,4019,Barack Obama,democrat,201251.0,382250,53.5199319203255
2012,Arizona,Pima,4019,Mitt Romney,republican,174779.0,382250,46.4800680796745
2012,Arizona,Pinal,4021,Barack Obama,democrat,44306.0,108315,41.646848709874504
2012,Arizona,Pinal,4021,Mitt Romney,republican,62079.0,108315,58.353151290125496
2012,Arizona,Santa Cruz,4023,Barack Obama,democrat,9486.0,13894,69.13490270388456
2012,Arizona,Santa Cruz,4023,Mitt Romney,republican,4235.0,13894,30.865097296115447
2012,Arizona,Yavapai,4025,Barack Obama,democrat,33918.0,100283,34.47441709186266
2012,Arizona,Yavapai,4025,Mitt Romney,republican,64468.0,100283,65.52558290813734
2012,Arizona,Yuma,4027,Barack Obama,democrat,18059.0,41953,43.60918596508174
2012,Arizona,Yuma,4027,Mitt Romney,republican,23352.0,41953,56.39081403491826
2012,Arkansas,Arkansas,5001,Barack Obama,democrat,2455.0,6494,38.6492443324937
2012,Arkansas,Arkansas,5001,Mitt Romney,republican,3897.0,6494,61.35075566750629
2012,Arkansas,Ashley,5003,Barack Obama,democrat,2859.0,7921,37.00491845715765
2012,Arkansas,Ashley,5003,Mitt Romney,republican,4867.0,7921,62.99508154284235
2012,Arkansas,Baxter,5005,Barack Obama,democrat,5172.0,19339,27.423117709437967
2012,Arkansas,Baxter,5005,Mitt Romney,republican,13688.0,19339,72.57688229056205
2012,Arkansas,Benton,5007,Barack Obama,democrat,22636.0,79257,29.290132242954375
2012,Arkansas,Benton,5007,Mitt Romney,republican,54646.0,79257,70.70986775704563
2012,Arkansas,Boone,5009,Barack Obama,democrat,3772.0,15391,25.262875895787285
2012,Arkansas,Boone,5009,Mitt Romney,republican,11159.0,15391,74.7371241042127
2012,Arkansas,Bradley,5011,Barack Obama,democrat,1449.0,3652,40.44097125313983
2012,Arkansas,Bradley,5011,Mitt Romney,republican,2134.0,3652,59.55902874686017
2012,Arkansas,Calhoun,5013,Barack Obama,democrat,660.0,2174,31.16147308781869
2012,Arkansas,Calhoun,5013,Mitt Romney,republican,1458.0,2174,68.83852691218131
2012,Arkansas,Carroll,5015,Barack Obama,democrat,3696.0,10183,37.633642195295785
2012,Arkansas,Carroll,5015,Mitt Romney,republican,6125.0,10183,62.36635780470421
2012,Arkansas,Chicot,5017,Barack Obama,democrat,2649.0,4361,61.333642046770095
